SpeciesName,EC
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__unknown_0,2.3.1.9
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__CACXFL01;g__CACXFL01;s__unknown_0,2.7.2.7
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__CACXFL01;g__CACXFL01;s__unknown_0,2.3.1.8
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__CACXFL01;g__CACXFL01;s__unknown_0,2.7.2.1
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__CACXFL01;g__CACXFL01;s__unknown_0,2.3.1.9
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__CACXFL01;g__CACXFL01;s__unknown_0,2.3.1.19
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__CACXFL01;g__CACXFL01;s__unknown_0,3.2.1.8
d__Bacteria;p__Eremiobacterota;c__Xenobia;o__CADAWZ01;f__CADAWZ01;g__;s__unknown_0,
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp017432545,3.2.1.22
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp017432545,3.2.1.21
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp017432545,2.7.2.1
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp017432545,3.2.1.4
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp017432545,1.3.5.1
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp017432545,1.3.5.4
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp017432545,2.7.2.7
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp017432545,3.2.1.78
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp017432545,2.3.1.9
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp017432545,5.1.99.1
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-1000;s__unknown_0,
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-1000;s__unknown_1,
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__Faecimonas;s__unknown_0,
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG11224;s__unknown_0,
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG343;s__unknown_0,2.7.2.1
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG343;s__unknown_0,1.1.1.36
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG343;s__unknown_0,3.2.1.4
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG343;s__unknown_0,2.3.1.8
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG343;s__unknown_0,2.3.1.9
